iter	Passed	Remaining
0	1	147
1	2	137
2	4	136
3	5	129
4	6	127
5	8	126
6	9	125
7	10	125
8	12	123
9	13	122
10	14	120
11	16	118
12	17	118
13	18	116
14	20	115
15	21	113
16	22	111
17	24	109
18	25	107
19	26	105
20	27	103
21	28	102
22	30	100
23	31	99
24	32	98
25	33	96
26	35	95
27	36	93
28	37	92
29	38	90
30	40	89
31	41	88
32	42	86
33	43	85
34	45	84
35	46	82
36	47	81
37	49	79
38	50	78
39	51	77
40	52	75
41	53	73
42	54	72
43	55	71
44	57	69
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	74	51
59	75	50
60	76	49
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	123	1
99	125	0
